;;Mentioned in study;;;;;;;;;;;;;;;;;;;;Presented model as primary;;;;;;;Discussed in detail;;;;;;;;;Models comparison performed;;;;;;;;;;;;;;;;Models used in practice;;;;;;;
Sr.;CITATIONS;TMMi;TPI Next;MPT.Br;Test SPICE;TAIM;MMSST;CTMM;MND-TMM;TPI-EI;STEP;AQAM;ASTMM;ATMM;CTP;MPTA.BR;PTMM;TIM;UTMM;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;STEP;CTP;TPI;TMM;TMMi;TPI-NEXT;MPT.BR;Test SPICE;CTMM;MND-TMM;ASTMM;ATMM;TIM;UTMM;TPI;TMM;DO-178C;KMM;CMMI;CMM;TMMi;TPI Next;MPT.Br;MND-TMM;TAIM;MMSST;TPI;TMM
;;52;17;5;9;4;1;1;1;3;3;2;4;3;5;1;4;4;5;27;23;16;1;2;1;1;5;4;24;3;2;2;1;1;1;4;4;7;6;1;4;1;1;1;1;1;1;1;3;1;2;1;2;18;2;5;1;2;1;1;1
40;Witte, F. (2022). Maturity Level of Test Management According to TPI Next. In Strategy, Planning and Organization of Test Processes: Basis for Successful Project Execution in Software Testing (pp. 223-231). Wiesbaden: Springer Fachmedien Wiesbaden.;1;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
41;Unudulmaz, A., & Kalıpsız, O. (2020, April). TMMI integration with agile and test process. In Proceedings of the 24th International Conference on Evaluation and Assessment in Software Engineering (pp. 375-378).;1;1;;1;;;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
42;Fischer, S., Ramler, R., Klammer, C., & Rabiser, R. (2021, February). Testing of highly configurable cyber-physical systems–a multiple case study. In Proceedings of the 15th International Working Conference on Variability Modelling of Software-Intensive Systems (pp. 1-10).;-;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Costa, I. E. F., & Oliveira, S. R. B. (2021, October). A study on assets applied in exploratory test design and execution: an interview application. In 2021 IEEE Frontiers in Education Conference (FIE) (pp. 1-8). IEEE.;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;
44;de Farias Junior, I., de Mesquita Melo, L., & Junior, N. L. (2020, June). MPT. Br Maturity Model: implementation in a telecommunications company. In 2020 15th Iberian Conference on Information Systems and Technologies (CISTI) (pp. 1-8). IEEE.;-;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
45;Fischer, S., Klammer, C., Fernández, A. M. G., Rabiser, R., & Ramler, R. (2023). Testing of highly configurable cyber–physical systems—Results from a two-phase multiple case study. Journal of Systems and Software, 199, 111624.;-;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Florea, R., Stray, V., & Sjøberg, D. I. (2023). On the roles of software testers: An exploratory study. Journal of Systems and Software, 204, 111742.;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Olsina, L., Lew, P., & Becker, P. (2024). Comparative analysis of the syntactic and semantic consistency of terms in software testing glossaries. Software Quality Journal, 32(1), 27-52.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Khoshniat, N., Jamarani, A., Ahmadzadeh, A., Haghi Kashani, M., & Mahdipour, E. (2024). Nature-inspired metaheuristic methods in software testing. Soft Computing, 28(2), 1503-1544.;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Schweigert, T., Bilecen, S., & Bitlisli Erdivan, H. E. (2020, August). The kanban maturity model in the context of common pi models. In European Conference on Software Process Improvement (pp. 477-489). Cham: Springer International Publishing.;-;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;2;;;;;;;;;;
50;van Veenendaal, E., Garousi, V., & Felderer, M. (2022, April). Motivations for and benefits of adopting the test maturity model integration (tmmi). In International Conference on Software Quality (pp. 13-19). Cham: Springer International Publishing.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
51;Olsina, L., Lew, P., & Tebes, G. (2022, September). Analyzing quality issues from software testing glossaries used in academia and industry. In International Conference on the Quality of Information and Communications Technology (pp. 140-155). Cham: Springer International Publishing.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Hohm, J., Heinemann, A., & Wiesmaier, A. (2022, December). Towards a maturity model for crypto-agility assessment. In International Symposium on Foundations and Practice of Security (pp. 104-119). Cham: Springer Nature Switzerland.;-;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Costa, I. E. F., & Oliveira, S. R. B. (2022, April). An Exploratory Test Design and Execution Learning Approach: A Definition of Syllabus and Teaching Plan. In International Conference on Computer Supported Education (pp. 26-50). Cham: Springer Nature Switzerland.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Witte, F. (2022). Test Methods. In: Strategy, Planning and Organization of Test Processes. Springer, Wiesbaden. https://doi.org/10.1007/978-3-658-36981-1_27.;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Özkurt, A., Gökalp, E., & Ipek, A. H. (2024). A Software Test Maturity Model Customized for Aerospace Industries: A Systematic Literature Review. In European Conference on Software Process Improvement (pp. 374-389). Springer, Cham.;1;1;;1;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;1;1;;;;;;;;1;;;;
56;Software testing process improvement models - TMMi, TPI Next, CTP, STEP. https://tryqa.com/software-testing-process-improvement-models-tmmi-tpi-next-ctp-step/.;1;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
57;What is the IDEAL model for test process improvement? https://tryqa.com/ideal-model-for-test-process-improvement/.;1;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Simon Frankish, Experimentus: Using the Test Maturity Modelintegration (TMMi) to help improve your software testing process, https://www.experimentus.com/blog/using-the-test-maturity-model-integration-tmmi-to-help-improve-your-software-testing-process/ last accessed 2022/12/08.;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
59;Experimentus: The Power of Test Process Improvement with TMMi, https://www.linkedin.com/pulse/power-test-process-improvement-tmmi-experimentus last accessed 2023/08/01.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
60;Victor Sachuk, ScienceSoft: QA process maturity: Models and capabilities, https://www.scnsoft.com/software-testing/qa-process-maturity-models-and-capabilities  last accessed 2023/05/28.;1;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Tamas Cser: How AI-Based Testing Fits into Your Software Testing Maturity Model. https://www.functionize.com/blog/how-ai-based-testing-fits-into-your-software-testing-maturity-model  last accessed 2022/03/16.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Sergey Almyashev: What Is Test Process Improvement (TPI) Model: Test Automation Ideas, https://zapple.tech/blog/test-automation-methodologies/what-is-test-process-improvement-tpi-model-test-automation-ideas/  last accessed 2022/06/20.;1;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
63;Software Testing Theory and Practice, lecture slides Ch 18-MaturityModels, University of Waterloo, https://ece.uwaterloo.ca/~snaik/MYBOOK1/Ch18-MaturityModels.ppt.;-;;;;;;;;;;;;;;;;;;1;1;;;;;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
64;Federico Toledo: Better Your Strategy with This Software Testing Maturity Model, https://abstracta.us/blog/software-testing/software-testing-maturity-model/  last accessed 2025/06/05.;-;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
65;Test Process Improvement, https://www.experimentus.com/test-process-improvement/ (Service article);1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
66;Nalin Parbhu, Ade Odumosu, https://assets.applytosupply.digitalmarketplace.service.gov.uk/g-cloud-13/documents/92888/512827125084958-service-definition-document-2022-05-18-1232.pdf (2022).;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
67;Van Veenendaal, E. (2024). Test Maturity Model integration (TMMi): Test Maturity in the Financial Domain. American Journal of Computer Science and Technology, 7(2), 43-50.;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
68;Test maturity Models: A guide to attaining software testing proficiency, https://www.qaoncloud.com/blog/test-maturity-models  last accessed 2023/06/28.;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Thomas Hamilton: What is Test Maturity Model (TMM) in Software Engineering?, https://www.guru99.com/what-is-test-maturity-model-tmm.html  last accessed 2024/04/05.;-;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;
70;Duy Huynh: Student Slides, University of Maryland, https://www.cs.umd.edu/~atif/Teaching/Fall2002/StudentSlides/Duy.pdf.;-;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
71;Anna Khrupa, https://testfort.com/blog/what-is-tmmi-in-software-testing, last accessed 2024/03/08.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Canadian TMMi Chapter, TMMi Foundation, https://cstb.ca/canadian-tmmi-chapter (Service article).;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
